"city (STRING)","areaCode (STRING)","country (STRING)","region (STRING)","locId (STRING)","longitude (STRING)","postalCode (STRING)","metroCode (STRING)","latitude (STRING)","author (STRING)","year (STRING)","month (STRING)","day (STRING)","hour (STRING)","minute (STRING)","text (STRING)","hashtags (STRING)","search_term (STRING)","id (STRING)"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","riwasaku","2013","3","17","18","4","'Exam' is a really good mind-fuck movie...","","fuck","7335395496348645113"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","RyBaTT","2013","3","17","17","57","fuck lbj","","fuck","-3509046827449774145"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","AsiscloChavez","2013","3","17","17","52","All my niggas from the gutter, I love to fuck her but I don't love her","","fuck","3866752868087984739"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","DalllyyJohanna","2013","3","17","17","43","“@infamousonez: @DalllyyJohanna fuck doors” deadasss!","","fuck","725165851039081471"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Mell2Smoove","2013","3","17","17","42","RT @MS_SHANADA: Done lost a couple of friends along the way....fuck em 😎*","","fuck","2618481752077924257"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","TheKingSays__","2013","3","17","17","37","RT @DemiMarieeeee: @TheKingSays__ no one gives a flying fuck lol","","fuck","9050403704820419853"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","harrysteafag","2013","3","17","17","26","wow so im going back to school tomorrow and everyone went somewhere hot and im just gonna be lil pastey fuck i am http://t.co/EAyYYKQBtF","","fuck","-1746367853368040217"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MS_SHANADA","2013","3","17","17","25","Done lost a couple of friends along the way....fuck em 😎*","","fuck","-5459895320403635559"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","chrispolanco17","2013","3","17","17","24","fuck this about to get on my 5am gym grind","","fuck","-4901871589054306123"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MstrBriteSloth","2013","3","17","17","20","I mean once you're hitting that 150 fps, why the fuck would you drop another $2000? Just whhhyyy?","","fuck","-9191777747067938266"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","DemiMarieeeee","2013","3","17","17","16","@TheKingSays__ no one gives a flying fuck lol","","fuck","-4910814518252621648"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MS_SHANADA","2013","3","17","17","15","Fuck the nigga that won't do fucki wit the nigga that want to !*","","fuck","1861083733875569922"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","AsiscloChavez","2013","3","17","17","12","If you really love me baby you'll let me fuck your buddies","","fuck","366886291454390874"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","sexfoot","2013","3","17","17","4","If you're not Hanna or Emily I don't care aka shut the fuck up Spencer.","","fuck","2253300563745837074"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","danhowls","2013","3","17","16","37","FUCKING FUCK OFF YOU TWAT","","fuck","8981942425935471857"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Cordell_Biggzby","2013","3","17","16","34","Jeff Van Gundy really does piss me the fuck off #HesMadQueefy","#HesMadQueefy","fuck","-2212891782551630847"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","NathalyCee","2013","3","17","16","33","I learned it's better not to give ah fuck;   no expectations no disappointments 👍👏🙌","","fuck","-2478194699677397813"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","NUEVO_WILCOX","2013","3","17","16","8","It's 9'oclock...thought it was 7:30 fuck..","","fuck","7167788346421864872"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","DOPE_bOii_Mrvee","2013","3","17","16","2","RT""@Lu_Estelle: Yu know I'm tired when I start typing nyolls!! Aiii fuck will finish off tomorrow!!""&lt; ANCYL dd the same n they got disbanded","","fuck","-479564803164528624"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","AsiscloChavez","2013","3","17","16","2","Fuck the first three months of the year lol","","fuck","-533876528286235384"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","tedvaland","2013","3","17","16","1","RT @may_noir : ""Why can't I be the cute, carefree Irish guy who sings?""

-That's my job..except for the singing.
Fuck that noise.","","fuck","221792094524965727"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","15","52","IAN AND LUCY SHOULD JUST FUCK AND GET IT OVER WITH.","","fuck","-3719346606657390196"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","15","17","@SweetSugarVenom fuck you.","","fuck","763636453728946812"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Pandurrcula","2013","3","17","15","16","@VICE45 Yeaahhhh no. Fuck off swagfags.","","fuck","47357747285974657"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","15","15","IM TRIPPED UP AND I'LL FUCK HOIR WIFE FUCK YOUR LIFE","","fuck","-5258679304102738125"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","KiLLAWHALE_FNF","2013","3","17","15","5","“@Jared_Kyie: @KiLLAWHALE_FNF fuck ya dreams lol” thats the knicks motto to their fans lmao","","fuck","4360687555115718416"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","ShaugCity","2013","3","17","15","1","Dead ass annoyed as fuck","","fuck","1913861552294152996"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","danhowls","2013","3","17","14","57","I really don't like the Saturdays fuck","","fuck","-6011592466308240559"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","turnt_cold","2013","3","17","14","49","I turn around for I've seconds and NC shits the bed. The fuck happened.","","fuck","1852989382175384535"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Kirkwood182","2013","3","17","14","41","Today's plan: Read About A Boy.
What I actually did: Fuck all.","","fuck","-1680791532257480141"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","NUEVO_WILCOX","2013","3","17","14","35","“@Sotade_Quade: @NUEVO_WILCOX fuck outta here wilcox”he iss.....bale is overhyped soo soo overhyped","","fuck","9194964574293943537"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Gallyx23","2013","3","17","14","34","@SpikeST Fuck that. Real nerds like to get their 8hours cuz they have school to worry about. Hahah","","fuck","5808278124936755971"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","SarahFieguraXo","2013","3","17","14","33","What the fuck actually happened last night.","","fuck","1245632218318533618"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","MstrBriteSloth","2013","3","17","14","21","@SUKnives fuck no.","","fuck","6890151559296683408"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","harrysteafag","2013","3","17","14","18","that dog is so cute. fuck. im just gonna go find my cat and cuddle it now bye","","fuck","2713295163477273298"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Pandurrcula","2013","3","17","14","18","Fuck i love Cosmic Brownies","","fuck","8581856095823452114"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","13","46","@_FlawlessLovato IM NOT CHARLEY. AM FUCKING KATNISS. WHO THE FUCK IS CHARLEY","","fuck","-1663280689011350923"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","vielkax4","2013","3","17","13","43","RT “@joeltyga: If I say ""OKAY"" during an argument , it means ""SHUT THE FUCK UP!""”","","fuck","1456851170363675512"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","13","39","@ArianatorPeople dude fuck off","","fuck","-5364708247229708169"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","decayingkween","2013","3","17","13","35","FUCK YES. GETTING THE MOCKINGJAY PIN ON SATURDAY *runs around screaming*","","fuck","3862725667775536891"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","Flog_Gnaw","2013","3","17","13","26","Okay spring break just got 100x better holy fuck.","","fuck","-898841557382590286"
"Valhalla","914","US","NY","605","-73.7768","10595","501","41.0877","AdamAdamleslie","2013","3","17","13","25","RT @UhOhItsPookie: Fuck the po po pope, I'm sick of hearing about his wrinkly ball sack","","fuck","-2008846193453781840"
