geoid,ansi_code,county of social_data_combined_cleaned,state_name,state_abbrev,population_per_square_mile,median_income_dollars,mean_income_dollars,percent_bachelors_or_higher,county_state of social_data_combined_cleaned,county_type,total_crime,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
1001,161526,autauga , alabama,AL,91.80298636,53899,66457,21.6,autauga_alabama,Metropolitan,546,77,1,7,13,56,469,161,271,37,6
1003,161527,baldwin , alabama,AL,114.6476502,51321,67770,27.2,baldwin_alabama,Nonmetropolitan,1073,91,0,10,13,68,982,374,556,52,7
1005,161528,barbour , alabama,AL,31.02920635,34041,42287,13.9,barbour_alabama,Nonmetropolitan,57,3,0,0,0,3,54,24,26,4,3
1007,161529,bibb , alabama,AL,36.80639659,40506,50574,9.8,bibb_alabama,,0,,,,,,,,,,
1009,161530,blount , alabama,AL,88.90219239,45404,55558,11.3,blount_alabama,Metropolitan,1035,71,3,9,3,56,964,333,551,80,3
1011,161531,bullock , alabama,AL,17.52394409,31955,50935,14.4,bullock_alabama,Nonmetropolitan,82,12,0,2,2,8,70,66,3,1,8
1013,161532,butler , alabama,AL,26.96475029,31273,41259,12.4,butler_alabama,Nonmetropolitan,320,43,1,5,2,35,277,90,177,10,4
1015,161533,calhoun , alabama,AL,195.7059954,39467,51382,15.8,calhoun_alabama,Metropolitan,696,21,0,11,1,9,675,237,437,1,0
1017,161534,chambers , alabama,AL,57.35661684,32186,42625,10.5,chambers_alabama,Nonmetropolitan,0,0,0,0,0,0,0,0,0,0,0
1019,161535,cherokee , alabama,AL,46.93696948,37833,50070,11.3,cherokee_alabama,Nonmetropolitan,583,48,1,2,1,44,535,216,296,23,8
1021,161536,chilton , alabama,AL,62.99018264,40418,54452,12.4,chilton_alabama,Metropolitan,860,88,1,16,3,68,772,302,414,56,0
1023,161537,choctaw , alabama,AL,15.1713191,32188,44930,10.5,choctaw_alabama,Nonmetropolitan,36,7,1,0,0,6,29,14,11,4,0
1025,161538,clarke , alabama,AL,20.8588858,29668,47093,13.2,clarke_alabama,,0,,,,,,,,,,
1027,161539,clay , alabama,AL,23.06771464,35410,43768,9.1,clay_alabama,Nonmetropolitan,64,12,0,0,0,12,52,13,34,5,0
1029,161540,cleburne , alabama,AL,26.7309409,38785,49767,9.4,cleburne_alabama,,0,,,,,,,,,,
1031,161541,coffee , alabama,AL,73.56415287,42065,57752,21.3,coffee_alabama,Nonmetropolitan,268,29,0,1,3,25,239,101,121,17,5
1033,161542,colbert , alabama,AL,91.84315724,40247,51607,17.4,colbert_alabama,Metropolitan,156,31,0,1,1,29,125,33,89,3,0
1035,161543,conecuh , alabama,AL,15.55949732,27977,44239,11.6,conecuh_alabama,Nonmetropolitan,233,43,0,3,5,35,190,60,117,13,1
1037,161544,coosa , alabama,AL,17.72705346,37191,48836,9.5,coosa_alabama,Nonmetropolitan,278,33,0,1,2,30,245,110,128,7,4
1039,161545,covington , alabama,AL,36.64882343,33544,49583,12.9,covington_alabama,,0,,,,,,,,,,
1041,161546,crenshaw , alabama,AL,22.84015505,38041,53009,11.6,crenshaw_alabama,Nonmetropolitan,255,57,2,0,2,53,198,92,94,12,1
1043,161547,cullman , alabama,AL,109.4195887,38703,51374,14.2,cullman_alabama,Nonmetropolitan,1348,113,1,16,3,93,1235,383,800,52,0
1045,161548,dale , alabama,AL,89.55003119,45491,54817,17.6,dale_alabama,Nonmetropolitan,270,65,0,9,3,53,205,51,146,8,3
1047,161549,dallas , alabama,AL,44.77390811,26909,43028,13.6,dallas_alabama,Nonmetropolitan,687,73,0,6,11,56,614,207,381,26,3
1049,161550,dekalb , alabama,AL,91.50642201,36853,49004,10.7,dekalb_alabama,,0,,,,,,,,,,
1051,161551,elmore , alabama,AL,128.2213797,54831,65836,21.2,elmore_alabama,Metropolitan,824,56,2,10,9,35,768,269,454,45,0
1053,161552,escambia , alabama,AL,40.5457739,31638,43175,11.8,escambia_alabama,Nonmetropolitan,438,42,0,3,4,35,396,126,228,42,0
1055,161553,etowah , alabama,AL,195.1995454,37772,51330,15.3,etowah_alabama,Metropolitan,825,156,0,12,3,141,669,277,327,65,6
1057,161554,fayette , alabama,AL,27.46869324,33378,43045,10.9,fayette_alabama,Nonmetropolitan,96,6,0,0,0,6,90,34,50,6,2
1059,161555,franklin , alabama,AL,50.02043164,35831,47503,11.4,franklin_alabama,Nonmetropolitan,353,34,2,4,1,27,319,102,195,22,0
1061,161556,geneva , alabama,AL,46.63932257,35237,47285,10.3,geneva_alabama,Metropolitan,279,30,0,3,1,26,249,82,144,23,1
1063,161557,greene , alabama,AL,13.97753087,23004,38467,10.6,greene_alabama,Metropolitan,194,50,1,2,2,45,144,62,68,14,1
1065,161558,hale , alabama,AL,24.47421589,29236,41392,10,hale_alabama,,0,,,,,,,,,,
1067,161559,henry , alabama,AL,30.80017802,39948,49068,14.8,henry_alabama,Metropolitan,159,33,2,1,1,29,126,44,73,9,1
1069,161560,houston , alabama,AL,175.1341786,41766,57537,18.8,houston_alabama,Metropolitan,689,83,1,9,7,66,606,193,355,58,1
1071,161561,jackson , alabama,AL,49.38174248,36383,47438,13.5,jackson_alabama,Nonmetropolitan,699,78,1,4,1,72,621,232,329,60,4
1073,161562,jefferson , alabama,AL,592.5314683,45750,66409,29,jefferson_alabama,Metropolitan,4694,569,9,55,153,352,4125,2348,1678,99,20
1075,161563,lamar , alabama,AL,24.07885644,34711,49427,9.4,lamar_alabama,Nonmetropolitan,6,2,0,2,0,0,4,1,3,0,0
1077,161564,lauderdale , alabama,AL,138.848909,39702,53161,21.6,lauderdale_alabama,Metropolitan,153,10,0,1,0,9,143,50,85,8,5
1079,161565,lawrence , alabama,AL,49.71781351,40009,49098,12.3,lawrence_alabama,Metropolitan,551,61,0,4,5,52,490,161,293,36,9
1081,161566,lee , alabama,AL,230.8455795,42320,56979,31.2,lee_alabama,Metropolitan,124,0,0,0,0,0,124,19,105,0,7
1083,161567,limestone , alabama,AL,147.8418962,47199,62843,21.1,limestone_alabama,Metropolitan,226,26,0,1,2,23,200,56,123,21,0
1085,161568,lowndes , alabama,AL,15.78268807,27905,46229,13.7,lowndes_alabama,Metropolitan,314,37,0,1,6,30,277,143,115,19,79
1087,161569,macon , alabama,AL,35.23161188,29355,42088,21.1,macon_alabama,Nonmetropolitan,1,0,0,0,0,0,1,1,0,0,0
1089,161570,madison , alabama,AL,417.6820406,57453,76342,37.4,madison_alabama,,0,,,,,,,,,,
1091,161572,marengo , alabama,AL,21.52460584,35165,47426,17.8,marengo_alabama,Nonmetropolitan,203,23,0,4,1,18,180,68,103,9,3
1093,161573,marion , alabama,AL,41.46077285,31799,43452,8.5,marion_alabama,Nonmetropolitan,275,28,0,1,1,26,247,91,133,23,1
1095,161574,marshall , alabama,AL,164.3904129,38563,53044,15.2,marshall_alabama,Nonmetropolitan,872,55,0,9,1,45,817,312,461,44,3
1097,161575,mobile , alabama,AL,335.9201584,42187,56992,20.1,mobile_alabama,Metropolitan,2758,241,6,19,43,173,2517,844,1437,236,4
1099,161576,monroe , alabama,AL,22.490555,29849,42652,10.4,monroe_alabama,Nonmetropolitan,133,33,0,1,1,31,100,53,44,3,1
1101,161577,montgomery , alabama,AL,292.4627063,44587,62645,31.2,montgomery_alabama,Metropolitan,693,80,3,1,10,66,613,248,307,58,4
1103,161578,morgan , alabama,AL,206.2530099,45564,59417,19,morgan_alabama,Metropolitan,562,38,0,9,3,26,524,269,236,19,0
1105,161579,perry , alabama,AL,14.71658996,27222,38353,12.6,perry_alabama,,0,,,,,,,,,,
1107,161580,pickens , alabama,AL,22.4027919,29096,39644,10.3,pickens_alabama,Nonmetropolitan,21,4,0,1,0,3,17,6,10,1,0
1109,161581,pike , alabama,AL,48.94999807,31179,46449,23.4,pike_alabama,Nonmetropolitan,37,4,0,0,0,4,33,11,22,0,0
1111,161582,randolph , alabama,AL,39.4677461,35823,51041,12.2,randolph_alabama,Nonmetropolitan,363,44,0,4,2,38,319,124,176,19,1
1113,161583,russell , alabama,AL,82.58258727,33754,44152,12.6,russell_alabama,Metropolitan,560,29,0,3,2,24,531,185,319,27,0
1115,164997,st. clair , alabama,AL,132.2879181,49200,60603,14.6,st. clair_alabama,Metropolitan,711,42,1,16,1,24,669,245,409,15,0
1117,161584,shelby , alabama,AL,248.5380862,68883,88876,40,shelby_alabama,Metropolitan,1427,118,1,24,13,80,1309,409,810,90,3
1119,161585,sumter , alabama,AL,15.22646083,21964,33896,13.6,sumter_alabama,Nonmetropolitan,34,12,0,1,2,9,22,12,7,3,0
1121,161586,talladega , alabama,AL,111.6908147,36609,47232,12.3,talladega_alabama,Nonmetropolitan,1013,56,1,4,4,47,957,335,545,77,5
