county_type,state,county,Violent_crime,Murder_and_nonnegligent_manslaughter,Forcible_rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Metropolitan,ALABAMA,Autauga,77,1,7,13,56,469,161,271,37,6
Metropolitan,ALABAMA,Blount,71,3,9,3,56,964,333,551,80,3
Metropolitan,ALABAMA,Calhoun,21,0,11,1,9,675,237,437,1,0
Metropolitan,ALABAMA,Chilton,88,1,16,3,68,772,302,414,56,0
Metropolitan,ALABAMA,Colbert,31,0,1,1,29,125,33,89,3,0
Metropolitan,ALABAMA,Elmore,56,2,10,9,35,768,269,454,45,0
Metropolitan,ALABAMA,Etowah,156,0,12,3,141,669,277,327,65,6
Metropolitan,ALABAMA,Geneva,30,0,3,1,26,249,82,144,23,1
Metropolitan,ALABAMA,Greene,50,1,2,2,45,144,62,68,14,1
Metropolitan,ALABAMA,Henry,33,2,1,1,29,126,44,73,9,1
Metropolitan,ALABAMA,Houston,83,1,9,7,66,606,193,355,58,1
Metropolitan,ALABAMA,Jefferson,569,9,55,153,352,"4,125","2,348","1,678",99,20
Metropolitan,ALABAMA,Lauderdale,10,0,1,0,9,143,50,85,8,5
Metropolitan,ALABAMA,Lawrence,61,0,4,5,52,490,161,293,36,9
Metropolitan,ALABAMA,Lee,0,0,0,0,0,124,19,105,0,7
Metropolitan,ALABAMA,Limestone,26,0,1,2,23,200,56,123,21,0
Metropolitan,ALABAMA,Lowndes,37,0,1,6,30,277,143,115,19,79
Metropolitan,ALABAMA,Mobile,241,6,19,43,173,"2,517",844,"1,437",236,4
Metropolitan,ALABAMA,Montgomery,80,3,1,10,66,613,248,307,58,4
Metropolitan,ALABAMA,Morgan,38,0,9,3,26,524,269,236,19,0
Metropolitan,ALABAMA,Russell,29,0,3,2,24,531,185,319,27,0
Metropolitan,ALABAMA,Shelby,118,1,24,13,80,"1,309",409,810,90,3
Metropolitan,ALABAMA,St. Clair,42,1,16,1,24,669,245,409,15,0
Metropolitan,ALABAMA,Tuscaloosa,228,2,8,21,197,"1,525",427,970,128,5
Nonmetropolitan,ALABAMA,Baldwin,91,0,10,13,68,982,374,556,52,7
Nonmetropolitan,ALABAMA,Barbour,3,0,0,0,3,54,24,26,4,3
Nonmetropolitan,ALABAMA,Bullock,12,0,2,2,8,70,66,3,1,8
Nonmetropolitan,ALABAMA,Butler,43,1,5,2,35,277,90,177,10,4
Nonmetropolitan,ALABAMA,Chambers,0,0,0,0,0,0,0,0,0,0
Nonmetropolitan,ALABAMA,Cherokee,48,1,2,1,44,535,216,296,23,8
Nonmetropolitan,ALABAMA,Choctaw,7,1,0,0,6,29,14,11,4,0
Nonmetropolitan,ALABAMA,Clay,12,0,0,0,12,52,13,34,5,0
Nonmetropolitan,ALABAMA,Coffee,29,0,1,3,25,239,101,121,17,5
Nonmetropolitan,ALABAMA,Conecuh,43,0,3,5,35,190,60,117,13,1
Nonmetropolitan,ALABAMA,Coosa,33,0,1,2,30,245,110,128,7,4
Nonmetropolitan,ALABAMA,Crenshaw,57,2,0,2,53,198,92,94,12,1
Nonmetropolitan,ALABAMA,Cullman,113,1,16,3,93,"1,235",383,800,52,0
Nonmetropolitan,ALABAMA,Dale,65,0,9,3,53,205,51,146,8,3
Nonmetropolitan,ALABAMA,Dallas,73,0,6,11,56,614,207,381,26,3
Nonmetropolitan,ALABAMA,De Kalb,179,4,21,2,152,908,320,515,73,0
Nonmetropolitan,ALABAMA,Escambia,42,0,3,4,35,396,126,228,42,0
Nonmetropolitan,ALABAMA,Fayette,6,0,0,0,6,90,34,50,6,2
Nonmetropolitan,ALABAMA,Franklin,34,2,4,1,27,319,102,195,22,0
Nonmetropolitan,ALABAMA,Jackson,78,1,4,1,72,621,232,329,60,4
Nonmetropolitan,ALABAMA,Lamar,2,0,2,0,0,4,1,3,0,0
Nonmetropolitan,ALABAMA,Macon,0,0,0,0,0,1,1,0,0,0
Nonmetropolitan,ALABAMA,Marengo,23,0,4,1,18,180,68,103,9,3
Nonmetropolitan,ALABAMA,Marion,28,0,1,1,26,247,91,133,23,1
Nonmetropolitan,ALABAMA,Marshall,55,0,9,1,45,817,312,461,44,3
Nonmetropolitan,ALABAMA,Monroe,33,0,1,1,31,100,53,44,3,1
Nonmetropolitan,ALABAMA,Pickens,4,0,1,0,3,17,6,10,1,0
Nonmetropolitan,ALABAMA,Pike,4,0,0,0,4,33,11,22,0,0
Nonmetropolitan,ALABAMA,Randolph,44,0,4,2,38,319,124,176,19,1
Nonmetropolitan,ALABAMA,Sumter,12,0,1,2,9,22,12,7,3,0
Nonmetropolitan,ALABAMA,Talladega,56,1,4,4,47,957,335,545,77,5
Nonmetropolitan,ALABAMA,Tallapoosa,17,1,2,1,13,233,109,112,12,0
Nonmetropolitan,ALABAMA,Washington,26,1,0,0,25,177,44,114,19,2
Nonmetropolitan,ALABAMA,Winston,13,0,0,0,13,185,76,100,9,0
Metropolitan,ARIZONA,Coconino,141,5,10,7,119,531,181,335,15,28
Metropolitan,ARIZONA,Maricopa,884,6,45,72,761,"4,955","1,371","3,143",441,102
Metropolitan,ARIZONA,Mohave,145,6,11,15,113,"2,144",762,"1,245",137,11
Metropolitan,ARIZONA,Pima,607,16,62,163,366,"11,711","2,857","8,007",847,96
Metropolitan,ARIZONA,Pinal,227,5,47,22,153,"3,789",710,"2,654",425,17
Metropolitan,ARIZONA,Yavapai,312,9,13,5,285,"1,320",465,764,91,12
Nonmetropolitan,ARIZONA,Apache,45,1,0,1,43,176,95,74,7,20
Nonmetropolitan,ARIZONA,Cochise,367,3,15,12,337,797,334,400,63,16
Nonmetropolitan,ARIZONA,Gila,34,1,1,3,29,347,55,261,31,3
Nonmetropolitan,ARIZONA,Graham,,0,0,1,,227,62,152,13,10
Nonmetropolitan,ARIZONA,La Paz,41,0,2,0,39,390,113,253,24,0
Nonmetropolitan,ARIZONA,Navajo,59,2,1,2,54,610,383,181,46,7
Nonmetropolitan,ARIZONA,Santa Cruz,7,1,2,2,2,276,103,131,42,9
Metropolitan,ARKANSAS,Benton,158,1,21,1,135,459,227,216,16,2
Metropolitan,ARKANSAS,Cleveland,5,0,0,0,5,113,68,37,8,0
Metropolitan,ARKANSAS,Craighead,12,1,0,3,8,296,120,163,13,2
Metropolitan,ARKANSAS,Crawford,139,1,18,1,119,334,67,237,30,1
Metropolitan,ARKANSAS,Crittenden,181,1,7,15,158,454,130,286,38,7
Metropolitan,ARKANSAS,Faulkner,46,0,8,0,38,921,291,554,76,6
Metropolitan,ARKANSAS,Franklin,39,0,4,0,35,191,69,109,13,4
Metropolitan,ARKANSAS,Jefferson,69,2,5,7,55,531,238,200,93,5
Metropolitan,ARKANSAS,Lincoln,3,1,0,1,1,99,52,43,4,3
Metropolitan,ARKANSAS,Lonoke,116,3,9,3,101,787,308,403,76,7
Metropolitan,ARKANSAS,Madison,21,0,5,0,16,122,49,56,17,0
Metropolitan,ARKANSAS,Miller,14,0,4,1,9,279,84,158,37,3
Metropolitan,ARKANSAS,Poinsett,21,0,5,0,16,35,14,16,5,3
Metropolitan,ARKANSAS,Pulaski,409,6,25,31,347,"2,244",896,"1,144",204,13
Metropolitan,ARKANSAS,Sebastian,83,0,11,3,69,356,183,151,22,3
Metropolitan,ARKANSAS,Washington,148,2,12,4,130,547,199,305,43,7
Nonmetropolitan,ARKANSAS,Arkansas,5,0,0,0,5,98,32,57,9,0
Nonmetropolitan,ARKANSAS,Ashley,22,1,1,3,17,218,88,116,14,2
Nonmetropolitan,ARKANSAS,Baxter,30,2,3,0,25,653,114,502,37,0
Nonmetropolitan,ARKANSAS,Boone,21,1,8,0,12,366,114,205,47,5
