county_type,state,county,violent_crime,murder_and_nonnegligent_manslaughter,forcible_rape,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county_state
Metropolitan,alabama,autauga,77,1,7,13,56,469,161,271,37,6,autauga_alabama
Nonmetropolitan,alabama,baldwin,91,0,10,13,68,982,374,556,52,7,baldwin_alabama
Nonmetropolitan,alabama,barbour,3,0,0,0,3,54,24,26,4,3,barbour_alabama
Metropolitan,alabama,blount,71,3,9,3,56,964,333,551,80,3,blount_alabama
Nonmetropolitan,alabama,bullock,12,0,2,2,8,70,66,3,1,8,bullock_alabama
Nonmetropolitan,alabama,butler,43,1,5,2,35,277,90,177,10,4,butler_alabama
Metropolitan,alabama,calhoun,21,0,11,1,9,675,237,437,1,0,calhoun_alabama
Nonmetropolitan,alabama,chambers,0,0,0,0,0,0,0,0,0,0,chambers_alabama
Nonmetropolitan,alabama,cherokee,48,1,2,1,44,535,216,296,23,8,cherokee_alabama
Metropolitan,alabama,chilton,88,1,16,3,68,772,302,414,56,0,chilton_alabama
Nonmetropolitan,alabama,choctaw,7,1,0,0,6,29,14,11,4,0,choctaw_alabama
Nonmetropolitan,alabama,clay,12,0,0,0,12,52,13,34,5,0,clay_alabama
Nonmetropolitan,alabama,coffee,29,0,1,3,25,239,101,121,17,5,coffee_alabama
Metropolitan,alabama,colbert,31,0,1,1,29,125,33,89,3,0,colbert_alabama
Nonmetropolitan,alabama,conecuh,43,0,3,5,35,190,60,117,13,1,conecuh_alabama
Nonmetropolitan,alabama,coosa,33,0,1,2,30,245,110,128,7,4,coosa_alabama
Nonmetropolitan,alabama,crenshaw,57,2,0,2,53,198,92,94,12,1,crenshaw_alabama
Nonmetropolitan,alabama,cullman,113,1,16,3,93,1235,383,800,52,0,cullman_alabama
Nonmetropolitan,alabama,dale,65,0,9,3,53,205,51,146,8,3,dale_alabama
Nonmetropolitan,alabama,dallas,73,0,6,11,56,614,207,381,26,3,dallas_alabama
Nonmetropolitan,alabama,de kalb,179,4,21,2,152,908,320,515,73,0,de kalb_alabama
Metropolitan,alabama,elmore,56,2,10,9,35,768,269,454,45,0,elmore_alabama
Nonmetropolitan,alabama,escambia,42,0,3,4,35,396,126,228,42,0,escambia_alabama
Metropolitan,alabama,etowah,156,0,12,3,141,669,277,327,65,6,etowah_alabama
Nonmetropolitan,alabama,fayette,6,0,0,0,6,90,34,50,6,2,fayette_alabama
Nonmetropolitan,alabama,franklin,34,2,4,1,27,319,102,195,22,0,franklin_alabama
