geoid,county_name,State,percent_bachelors_or_higher
1001,Autauga County, Alabama,21.6
1003,Baldwin County, Alabama,27.2
1005,Barbour County, Alabama,13.9
1007,Bibb County, Alabama,9.8
1009,Blount County, Alabama,11.3
1011,Bullock County, Alabama,14.4
1013,Butler County, Alabama,12.4
1015,Calhoun County, Alabama,15.8
1017,Chambers County, Alabama,10.5
1019,Cherokee County, Alabama,11.3
1021,Chilton County, Alabama,12.4
1023,Choctaw County, Alabama,10.5
1025,Clarke County, Alabama,13.2
1027,Clay County, Alabama,9.1
1029,Cleburne County, Alabama,9.4
1031,Coffee County, Alabama,21.3
1033,Colbert County, Alabama,17.4
1035,Conecuh County, Alabama,11.6
1037,Coosa County, Alabama,9.5
1039,Covington County, Alabama,12.9
1041,Crenshaw County, Alabama,11.6
1043,Cullman County, Alabama,14.2
1045,Dale County, Alabama,17.6
1047,Dallas County, Alabama,13.6
1049,DeKalb County, Alabama,10.7
1051,Elmore County, Alabama,21.2
1053,Escambia County, Alabama,11.8
1055,Etowah County, Alabama,15.3
1057,Fayette County, Alabama,10.9
1059,Franklin County, Alabama,11.4
1061,Geneva County, Alabama,10.3
1063,Greene County, Alabama,10.6
1065,Hale County, Alabama,10
1067,Henry County, Alabama,14.8
1069,Houston County, Alabama,18.8
1071,Jackson County, Alabama,13.5
1073,Jefferson County, Alabama,29
1075,Lamar County, Alabama,9.4
1077,Lauderdale County, Alabama,21.6
1079,Lawrence County, Alabama,12.3
1081,Lee County, Alabama,31.2
1083,Limestone County, Alabama,21.1
1085,Lowndes County, Alabama,13.7
1087,Macon County, Alabama,21.1
1089,Madison County, Alabama,37.4
1091,Marengo County, Alabama,17.8
1093,Marion County, Alabama,8.5
1095,Marshall County, Alabama,15.2
1097,Mobile County, Alabama,20.1
1099,Monroe County, Alabama,10.4
1101,Montgomery County, Alabama,31.2
1103,Morgan County, Alabama,19
1105,Perry County, Alabama,12.6
1107,Pickens County, Alabama,10.3
1109,Pike County, Alabama,23.4
1111,Randolph County, Alabama,12.2
1113,Russell County, Alabama,12.6
1115,St. Clair County, Alabama,14.6
1117,Shelby County, Alabama,40
1119,Sumter County, Alabama,13.6
1121,Talladega County, Alabama,12.3
1123,Tallapoosa County, Alabama,17.1
1125,Tuscaloosa County, Alabama,26
1127,Walker County, Alabama,10
1129,Washington County, Alabama,10.1
1131,Wilcox County, Alabama,12
1133,Winston County, Alabama,11.5
2013,Aleutians East Borough, Alaska,17.8
2016,Aleutians West Census Area, Alaska,11.1
2020,Anchorage Municipality, Alaska,32.3
2050,Bethel Census Area, Alaska,12.5
2060,Bristol Bay Borough, Alaska,19.6
2068,Denali Borough, Alaska,24.2
2070,Dillingham Census Area, Alaska,19.2
2090,Fairbanks North Star Borough, Alaska,27.7
2100,Haines Borough, Alaska,31.6
2105,Hoonah-Angoon Census Area, Alaska,27.9
2110,Juneau City and Borough, Alaska,36.4
2122,Kenai Peninsula Borough, Alaska,23.1
2130,Ketchikan Gateway Borough, Alaska,24.6
2150,Kodiak Island Borough, Alaska,24.5
2164,Lake and Peninsula Borough, Alaska,19.8
2170,Matanuska-Susitna Borough, Alaska,20.9
2180,Nome Census Area, Alaska,15.7
2185,North Slope Borough, Alaska,17.6
2188,Northwest Arctic Borough, Alaska,12.2
2195,Petersburg Census Area, Alaska,24.2
2198,Prince of Wales-Hyder Census Area, Alaska,16.1
2220,Sitka City and Borough, Alaska,34.7
2230,Skagway Municipality, Alaska,28.8
2240,Southeast Fairbanks Census Area, Alaska,20.8
2261,Valdez-Cordova Census Area, Alaska,24.5
2270,Wade Hampton Census Area, Alaska,6.9
2275,Wrangell City and Borough, Alaska,19.3
2282,Yakutat City and Borough, Alaska,25.8
2290,Yukon-Koyukuk Census Area, Alaska,10.1
4001,Apache County, Arizona,10.1
4003,Cochise County, Arizona,21.9
4005,Coconino County, Arizona,31.5
4007,Gila County, Arizona,15.5
4009,Graham County, Arizona,14.4
4011,Greenlee County, Arizona,11.9
4012,La Paz County, Arizona,9.3
4013,Maricopa County, Arizona,29.1
4015,Mohave County, Arizona,12.2
4017,Navajo County, Arizona,14.3
4019,Pima County, Arizona,29.5
4021,Pinal County, Arizona,18.1
4023,Santa Cruz County, Arizona,18
4025,Yavapai County, Arizona,24.2
4027,Yuma County, Arizona,13.9
5001,Arkansas County, Arkansas,13
5003,Ashley County, Arkansas,12.5
5005,Baxter County, Arkansas,14.9
5007,Benton County, Arkansas,27.6
5009,Boone County, Arkansas,14.2
5011,Bradley County, Arkansas,11.4
5013,Calhoun County, Arkansas,6.7
5015,Carroll County, Arkansas,17.1
5017,Chicot County, Arkansas,13.2
5019,Clark County, Arkansas,22.3
5021,Clay County, Arkansas,9.3
5023,Cleburne County, Arkansas,16.3
5025,Cleveland County, Arkansas,14
5027,Columbia County, Arkansas,20.5
5029,Conway County, Arkansas,14
5031,Craighead County, Arkansas,23.7
5033,Crawford County, Arkansas,13.2
5035,Crittenden County, Arkansas,13.5
5037,Cross County, Arkansas,12
5039,Dallas County, Arkansas,12.7
5041,Desha County, Arkansas,13.4
5043,Drew County, Arkansas,19.8
5045,Faulkner County, Arkansas,25.9
5047,Franklin County, Arkansas,12.4
5049,Fulton County, Arkansas,11.5
5051,Garland County, Arkansas,20.6
5053,Grant County, Arkansas,15.1
5055,Greene County, Arkansas,12.1
5057,Hempstead County, Arkansas,14.5
5059,Hot Spring County, Arkansas,12.3
5061,Howard County, Arkansas,12.7
5063,Independence County, Arkansas,13.2
5065,Izard County, Arkansas,12.7
5067,Jackson County, Arkansas,8
5069,Jefferson County, Arkansas,16.9
5071,Johnson County, Arkansas,16
5073,Lafayette County, Arkansas,12.8
5075,Lawrence County, Arkansas,9.4
5077,Lee County, Arkansas,6.5
5079,Lincoln County, Arkansas,9
5081,Little River County, Arkansas,12.5
5083,Logan County, Arkansas,11.2
5085,Lonoke County, Arkansas,17.3
5087,Madison County, Arkansas,12.2
5089,Marion County, Arkansas,14.5
5091,Miller County, Arkansas,12.9
5093,Mississippi County, Arkansas,12.6
5095,Monroe County, Arkansas,13.7
5097,Montgomery County, Arkansas,11.3
5099,Nevada County, Arkansas,10.3
5101,Newton County, Arkansas,12.6
5103,Ouachita County, Arkansas,13.2
5105,Perry County, Arkansas,11.5
5107,Phillips County, Arkansas,12.2
5109,Pike County, Arkansas,11.3
5111,Poinsett County, Arkansas,9.4
5113,Polk County, Arkansas,10.6
5115,Pope County, Arkansas,20.4
5117,Prairie County, Arkansas,9.9
5119,Pulaski County, Arkansas,31.3
5121,Randolph County, Arkansas,11.5
5123,St. Francis County, Arkansas,10.2
5125,Saline County, Arkansas,22.9
5127,Scott County, Arkansas,11.1
5129,Searcy County, Arkansas,8.5
5131,Sebastian County, Arkansas,19
5133,Sevier County, Arkansas,9.2
5135,Sharp County, Arkansas,12.8
5137,Stone County, Arkansas,11.8
5139,Union County, Arkansas,16.5
5141,Van Buren County, Arkansas,12.7
5143,Washington County, Arkansas,27.6
5145,White County, Arkansas,18.4
5147,Woodruff County, Arkansas,9.6
5149,Yell County, Arkansas,10.5
6001,Alameda County, California,40.8
6003,Alpine County, California,32
6005,Amador County, California,18.8
6007,Butte County, California,24
6009,Calaveras County, California,20.7
6011,Colusa County, California,13
6013,Contra Costa County, California,38.4
6015,Del Norte County, California,14.3
6017,El Dorado County, California,30.8
6019,Fresno County, California,19.5
6021,Glenn County, California,15.5
6023,Humboldt County, California,26.3
6025,Imperial County, California,12.8
6027,Inyo County, California,22.5
6029,Kern County, California,14.6
6031,Kings County, California,12.5
6033,Lake County, California,16.2
6035,Lassen County, California,12.4
6037,Los Angeles County, California,29.2
6039,Madera County, California,14
6041,Marin County, California,54
6043,Mariposa County, California,20.5
6045,Mendocino County, California,22.1
6047,Merced County, California,12.3
6049,Modoc County, California,16.2
6051,Mono County, California,30.3
6053,Monterey County, California,23.2
6055,Napa County, California,30.7
6057,Nevada County, California,32.4
6059,Orange County, California,36.2
6061,Placer County, California,34.6
6063,Plumas County, California,21.1
6065,Riverside County, California,20.6
6067,Sacramento County, California,27.7
6069,San Benito County, California,18.3
6071,San Bernardino County, California,18.6
6073,San Diego County, California,34.2
6075,San Francisco County, California,51.4
6077,San Joaquin County, California,17.6
6079,San Luis Obispo County, California,30.8
6081,San Mateo County, California,43.9
6083,Santa Barbara County, California,31.3
6085,Santa Clara County, California,45.5
6087,Santa Cruz County, California,38.1
6089,Shasta County, California,19.7
6091,Sierra County, California,18.6
6093,Siskiyou County, California,22.6
6095,Solano County, California,24.2
6097,Sonoma County, California,31.8
6099,Stanislaus County, California,16.4
6101,Sutter County, California,18.9
6103,Tehama County, California,12.6
6105,Trinity County, California,19.3
6107,Tulare County, California,12.9
6109,Tuolumne County, California,17.9
6111,Ventura County, California,31
6113,Yolo County, California,38.4
6115,Yuba County, California,12.7
8001,Adams County, Colorado,20.7
8003,Alamosa County, Colorado,24.7
8005,Arapahoe County, Colorado,38.3
8007,Archuleta County, Colorado,33.5
8009,Baca County, Colorado,17.5
8011,Bent County, Colorado,11.3
8013,Boulder County, Colorado,57.7
8014,Broomfield County, Colorado,45.6
8015,Chaffee County, Colorado,32.2
8017,Cheyenne County, Colorado,15.6
8019,Clear Creek County, Colorado,39.9
8021,Conejos County, Colorado,20.6
8023,Costilla County, Colorado,15.3
8025,Crowley County, Colorado,10.7
8027,Custer County, Colorado,30.8
8029,Delta County, Colorado,17.7
8031,Denver County, Colorado,41.3
8033,Dolores County, Colorado,15.5
8035,Douglas County, Colorado,54.6
8037,Eagle County, Colorado,46.9
8039,Elbert County, Colorado,30.2
8041,El Paso County, Colorado,35.1
8043,Fremont County, Colorado,16.5
8045,Garfield County, Colorado,24.8
8047,Gilpin County, Colorado,27.4
8049,Grand County, Colorado,29.6
8051,Gunnison County, Colorado,47
8053,Hinsdale County, Colorado,41.5
8055,Huerfano County, Colorado,25
8057,Jackson County, Colorado,21.8
8059,Jefferson County, Colorado,39.7
8061,Kiowa County, Colorado,23
8063,Kit Carson County, Colorado,15.4
8065,Lake County, Colorado,21.7
8067,La Plata County, Colorado,41
8069,Larimer County, Colorado,43.1
8071,Las Animas County, Colorado,18.2
8073,Lincoln County, Colorado,12.3
8075,Logan County, Colorado,16.4
8077,Mesa County, Colorado,26.1
8079,Mineral County, Colorado,39.7
8081,Moffat County, Colorado,14.1
8083,Montezuma County, Colorado,26.1
8085,Montrose County, Colorado,22.9
8087,Morgan County, Colorado,14.6
8089,Otero County, Colorado,13.6
8091,Ouray County, Colorado,42.1
8093,Park County, Colorado,33.8
8095,Phillips County, Colorado,19.3
8097,Pitkin County, Colorado,56.5
8099,Prowers County, Colorado,18.9
8101,Pueblo County, Colorado,21.5
8103,Rio Blanco County, Colorado,23
8105,Rio Grande County, Colorado,19.2
8107,Routt County, Colorado,47.9
8109,Saguache County, Colorado,20.1
8111,San Juan County, Colorado,26.5
8113,San Miguel County, Colorado,50.4
8115,Sedgwick County, Colorado,15
8117,Summit County, Colorado,49.2
8119,Teller County, Colorado,29.9
8121,Washington County, Colorado,18.6
8123,Weld County, Colorado,25.6
8125,Yuma County, Colorado,16.4
9001,Fairfield County, Connecticut,44
9003,Hartford County, Connecticut,33.9
9005,Litchfield County, Connecticut,32.7
9007,Middlesex County, Connecticut,38.3
9009,New Haven County, Connecticut,32.3
9011,New London County, Connecticut,30.9
9013,Tolland County, Connecticut,36.5
9015,Windham County, Connecticut,22
10001,Kent County, Delaware,20
10003,New Castle County, Delaware,32.7
10005,Sussex County, Delaware,21.9
11001,District of Columbia, District of Columbia,50.5
12001,Alachua County, Florida,41.1
12003,Baker County, Florida,7.4
12005,Bay County, Florida,21
12007,Bradford County, Florida,8.8
12009,Brevard County, Florida,26.4
12011,Broward County, Florida,29.9
12013,Calhoun County, Florida,7.9
12015,Charlotte County, Florida,20.9
12017,Citrus County, Florida,16.5
12019,Clay County, Florida,23.2
12021,Collier County, Florida,31.6
12023,Columbia County, Florida,13.1
12027,DeSoto County, Florida,11.4
12029,Dixie County, Florida,8.9
12031,Duval County, Florida,25.2
12033,Escambia County, Florida,23.3
12035,Flagler County, Florida,22
12037,Franklin County, Florida,17.6
12039,Gadsden County, Florida,13.2
12041,Gilchrist County, Florida,11.4
12043,Glades County, Florida,10.3
12045,Gulf County, Florida,13.3
12047,Hamilton County, Florida,8.4
12049,Hardee County, Florida,9.3
12051,Hendry County, Florida,9.4
12053,Hernando County, Florida,16.2
12055,Highlands County, Florida,14.5
12057,Hillsborough County, Florida,29
12059,Holmes County, Florida,10.1
12061,Indian River County, Florida,26.4
12063,Jackson County, Florida,13.6
12065,Jefferson County, Florida,15.5
12067,Lafayette County, Florida,10.3
12069,Lake County, Florida,20.1
12071,Lee County, Florida,24.6
12073,Leon County, Florida,43.1
12075,Levy County, Florida,12.2
12077,Liberty County, Florida,13.2
12079,Madison County, Florida,10.9
12081,Manatee County, Florida,26
12083,Marion County, Florida,16.8
12085,Martin County, Florida,29.9
12086,Miami-Dade County, Florida,26.2
12087,Monroe County, Florida,27.8
12089,Nassau County, Florida,21.8
12091,Okaloosa County, Florida,26.9
12093,Okeechobee County, Florida,10.1
12095,Orange County, Florida,30
12097,Osceola County, Florida,18
12099,Palm Beach County, Florida,32.2
12101,Pasco County, Florida,19.7
12103,Pinellas County, Florida,27
12105,Polk County, Florida,18
12107,Putnam County, Florida,12.5
12109,St. Johns County, Florida,39.3
12111,St. Lucie County, Florida,17.9
12113,Santa Rosa County, Florida,25.6
12115,Sarasota County, Florida,29.3
12117,Seminole County, Florida,34
12119,Sumter County, Florida,20
12121,Suwannee County, Florida,10.1
12123,Taylor County, Florida,10.8
12125,Union County, Florida,10
12127,Volusia County, Florida,20.8
12129,Wakulla County, Florida,17.3
12131,Walton County, Florida,24.9
12133,Washington County, Florida,12.3
13001,Appling County, Georgia,9.3
13003,Atkinson County, Georgia,8.3
13005,Bacon County, Georgia,8
13007,Baker County, Georgia,9.7
