geoid,county_name,median_income_dollars,mean_income_dollars
1001,"Autauga County, Alabama",53899,66457
1003,"Baldwin County, Alabama",51321,67770
1005,"Barbour County, Alabama",34041,42287
1007,"Bibb County, Alabama",40506,50574
1009,"Blount County, Alabama",45404,55558
1011,"Bullock County, Alabama",31955,50935
1013,"Butler County, Alabama",31273,41259
1015,"Calhoun County, Alabama",39467,51382
1017,"Chambers County, Alabama",32186,42625
1019,"Cherokee County, Alabama",37833,50070
1021,"Chilton County, Alabama",40418,54452
1023,"Choctaw County, Alabama",32188,44930
1025,"Clarke County, Alabama",29668,47093
1027,"Clay County, Alabama",35410,43768
1029,"Cleburne County, Alabama",38785,49767
1031,"Coffee County, Alabama",42065,57752
1033,"Colbert County, Alabama",40247,51607
1035,"Conecuh County, Alabama",27977,44239
1037,"Coosa County, Alabama",37191,48836
1039,"Covington County, Alabama",33544,49583
1041,"Crenshaw County, Alabama",38041,53009
1043,"Cullman County, Alabama",38703,51374
1045,"Dale County, Alabama",45491,54817
1047,"Dallas County, Alabama",26909,43028
1049,"DeKalb County, Alabama",36853,49004
1051,"Elmore County, Alabama",54831,65836
1053,"Escambia County, Alabama",31638,43175
1055,"Etowah County, Alabama",37772,51330
1057,"Fayette County, Alabama",33378,43045
1059,"Franklin County, Alabama",35831,47503
1061,"Geneva County, Alabama",35237,47285
1063,"Greene County, Alabama",23004,38467
1065,"Hale County, Alabama",29236,41392
1067,"Henry County, Alabama",39948,49068
1069,"Houston County, Alabama",41766,57537
1071,"Jackson County, Alabama",36383,47438
1073,"Jefferson County, Alabama",45750,66409
1075,"Lamar County, Alabama",34711,49427
1077,"Lauderdale County, Alabama",39702,53161
1079,"Lawrence County, Alabama",40009,49098
1081,"Lee County, Alabama",42320,56979
1083,"Limestone County, Alabama",47199,62843
1085,"Lowndes County, Alabama",27905,46229
1087,"Macon County, Alabama",29355,42088
1089,"Madison County, Alabama",57453,76342
1091,"Marengo County, Alabama",35165,47426
1093,"Marion County, Alabama",31799,43452
1095,"Marshall County, Alabama",38563,53044
1097,"Mobile County, Alabama",42187,56992
1099,"Monroe County, Alabama",29849,42652
1101,"Montgomery County, Alabama",44587,62645
1103,"Morgan County, Alabama",45564,59417
1105,"Perry County, Alabama",27222,38353
1107,"Pickens County, Alabama",29096,39644
1109,"Pike County, Alabama",31179,46449
1111,"Randolph County, Alabama",35823,51041
1113,"Russell County, Alabama",33754,44152
1115,"St. Clair County, Alabama",49200,60603
1117,"Shelby County, Alabama",68883,88876
1119,"Sumter County, Alabama",21964,33896
1121,"Talladega County, Alabama",36609,47232
1123,"Tallapoosa County, Alabama",39423,56213
1125,"Tuscaloosa County, Alabama",43538,59033
1127,"Walker County, Alabama",37161,51787
1129,"Washington County, Alabama",40286,51337
1131,"Wilcox County, Alabama",23750,36605
1133,"Winston County, Alabama",32557,45115
2013,"Aleutians East Borough, Alaska",57083,67263
2016,"Aleutians West Census Area, Alaska",75179,82729
2020,"Anchorage Municipality, Alaska",75485,94073
2050,"Bethel Census Area, Alaska",52063,69727
2060,"Bristol Bay Borough, Alaska",80000,91508
2068,"Denali Borough, Alaska",82898,83741
2070,"Dillingham Census Area, Alaska",57681,74417
2090,"Fairbanks North Star Borough, Alaska",68922,81952
2100,"Haines Borough, Alaska",51667,66432
2105,"Hoonah-Angoon Census Area, Alaska",49545,61984
2110,"Juneau City and Borough, Alaska",77465,93994
2122,"Kenai Peninsula Borough, Alaska",59256,73367
2130,"Ketchikan Gateway Borough, Alaska",57243,71835
2150,"Kodiak Island Borough, Alaska",66326,75206
2164,"Lake and Peninsula Borough, Alaska",51429,59655
2170,"Matanuska-Susitna Borough, Alaska",70343,81319
2180,"Nome Census Area, Alaska",52435,67008
2185,"North Slope Borough, Alaska",76667,85856
2188,"Northwest Arctic Borough, Alaska",59893,69215
2195,"Petersburg Census Area, Alaska",64216,74481
2198,"Prince of Wales-Hyder Census Area, Alaska",45513,60413
2220,"Sitka City and Borough, Alaska",69798,79736
2230,"Skagway Municipality, Alaska",73000,88057
2240,"Southeast Fairbanks Census Area, Alaska",59917,70878
2261,"Valdez-Cordova Census Area, Alaska",62238,77849
2270,"Wade Hampton Census Area, Alaska",39583,48736
