state,geoid,ansi_code,county_name,population_per_square_mile
AL,1001,161526,Autauga County,91.80298636
AL,1003,161527,Baldwin County,114.6476502
AL,1005,161528,Barbour County,31.02920635
AL,1007,161529,Bibb County,36.80639659
AL,1009,161530,Blount County,88.90219239
AL,1011,161531,Bullock County,17.52394409
AL,1013,161532,Butler County,26.96475029
AL,1015,161533,Calhoun County,195.7059954
AL,1017,161534,Chambers County,57.35661684
AL,1019,161535,Cherokee County,46.93696948
AL,1021,161536,Chilton County,62.99018264
AL,1023,161537,Choctaw County,15.1713191
AL,1025,161538,Clarke County,20.8588858
AL,1027,161539,Clay County,23.06771464
AL,1029,161540,Cleburne County,26.7309409
AL,1031,161541,Coffee County,73.56415287
AL,1033,161542,Colbert County,91.84315724
AL,1035,161543,Conecuh County,15.55949732
AL,1037,161544,Coosa County,17.72705346
AL,1039,161545,Covington County,36.64882343
AL,1041,161546,Crenshaw County,22.84015505
AL,1043,161547,Cullman County,109.4195887
AL,1045,161548,Dale County,89.55003119
AL,1047,161549,Dallas County,44.77390811
AL,1049,161550,DeKalb County,91.50642201
AL,1051,161551,Elmore County,128.2213797
AL,1053,161552,Escambia County,40.5457739
AL,1055,161553,Etowah County,195.1995454
AL,1057,161554,Fayette County,27.46869324
AL,1059,161555,Franklin County,50.02043164
AL,1061,161556,Geneva County,46.63932257
AL,1063,161557,Greene County,13.97753087
AL,1065,161558,Hale County,24.47421589
AL,1067,161559,Henry County,30.80017802
AL,1069,161560,Houston County,175.1341786
AL,1071,161561,Jackson County,49.38174248
AL,1073,161562,Jefferson County,592.5314683
AL,1075,161563,Lamar County,24.07885644
AL,1077,161564,Lauderdale County,138.848909
AL,1079,161565,Lawrence County,49.71781351
AL,1081,161566,Lee County,230.8455795
AL,1083,161567,Limestone County,147.8418962
AL,1085,161568,Lowndes County,15.78268807
AL,1087,161569,Macon County,35.23161188
AL,1089,161570,Madison County,417.6820406
AL,1091,161572,Marengo County,21.52460584
AL,1093,161573,Marion County,41.46077285
AL,1095,161574,Marshall County,164.3904129
AL,1097,161575,Mobile County,335.9201584
AL,1099,161576,Monroe County,22.490555
AL,1101,161577,Montgomery County,292.4627063
AL,1103,161578,Morgan County,206.2530099
AL,1105,161579,Perry County,14.71658996
AL,1107,161580,Pickens County,22.4027919
AL,1109,161581,Pike County,48.94999807
AL,1111,161582,Randolph County,39.4677461
AL,1113,161583,Russell County,82.58258727
AL,1115,164997,St. Clair County,132.2879181
AL,1117,161584,Shelby County,248.5380862
AL,1119,161585,Sumter County,15.22646083
AL,1121,161586,Talladega County,111.6908147
AL,1123,161587,Tallapoosa County,58.08064244
AL,1125,161588,Tuscaloosa County,147.2708634
AL,1127,161589,Walker County,84.71142276
AL,1129,161590,Washington County,16.27558422
AL,1131,161591,Wilcox County,13.13452591
