geoid,ansi_code,county of social_data_combined_cleaned,state_name,state_abbrev,population_2010,population_per_square_mile,median_income_dollars,mean_income_dollars,percent_bachelors_or_higher,county_state of social_data_combined_cleaned,county_type,total_crime,crime_per_capita
1001,161526,autauga,alabama,AL,54571,91.80298636,53899,66457,21.6,autauga_alabama,Metropolitan,546,0.010005314
1003,161527,baldwin,alabama,AL,182265,114.6476502,51321,67770,27.2,baldwin_alabama,Nonmetropolitan,1073,0.005887033
1005,161528,barbour,alabama,AL,27457,31.02920635,34041,42287,13.9,barbour_alabama,Nonmetropolitan,57,0.002075973
1007,161529,bibb,alabama,AL,22915,36.80639659,40506,50574,9.8,bibb_alabama,NA,-1,-0.001
1009,161530,blount,alabama,AL,57322,88.90219239,45404,55558,11.3,blount_alabama,Metropolitan,1035,0.018055895
1011,161531,bullock,alabama,AL,10914,17.52394409,31955,50935,14.4,bullock_alabama,Nonmetropolitan,82,0.007513286
1013,161532,butler,alabama,AL,20947,26.96475029,31273,41259,12.4,butler_alabama,Nonmetropolitan,320,0.015276651
1015,161533,calhoun,alabama,AL,118572,195.7059954,39467,51382,15.8,calhoun_alabama,Metropolitan,696,0.005869851
1017,161534,chambers,alabama,AL,34215,57.35661684,32186,42625,10.5,chambers_alabama,Nonmetropolitan,0,0
1019,161535,cherokee,alabama,AL,25989,46.93696948,37833,50070,11.3,cherokee_alabama,Nonmetropolitan,583,0.022432568
1021,161536,chilton,alabama,AL,43643,62.99018264,40418,54452,12.4,chilton_alabama,Metropolitan,860,0.019705336
1023,161537,choctaw,alabama,AL,13859,15.1713191,32188,44930,10.5,choctaw_alabama,Nonmetropolitan,36,0.00259759
1025,161538,clarke,alabama,AL,25833,20.8588858,29668,47093,13.2,clarke_alabama,NA,-1,-0.001
1027,161539,clay,alabama,AL,13932,23.06771464,35410,43768,9.1,clay_alabama,Nonmetropolitan,64,0.004593741
1029,161540,cleburne,alabama,AL,14972,26.7309409,38785,49767,9.4,cleburne_alabama,NA,-1,-0.001
1031,161541,coffee,alabama,AL,49948,73.56415287,42065,57752,21.3,coffee_alabama,Nonmetropolitan,268,0.00536558
1033,161542,colbert,alabama,AL,54428,91.84315724,40247,51607,17.4,colbert_alabama,Metropolitan,156,0.002866172
1035,161543,conecuh,alabama,AL,13228,15.55949732,27977,44239,11.6,conecuh_alabama,Nonmetropolitan,233,0.017614152
1037,161544,coosa,alabama,AL,11539,17.72705346,37191,48836,9.5,coosa_alabama,Nonmetropolitan,278,0.024092209
1039,161545,covington,alabama,AL,37765,36.64882343,33544,49583,12.9,covington_alabama,NA,-1,-0.001
1041,161546,crenshaw,alabama,AL,13906,22.84015505,38041,53009,11.6,crenshaw_alabama,Nonmetropolitan,255,0.018337408
1043,161547,cullman,alabama,AL,80406,109.4195887,38703,51374,14.2,cullman_alabama,Nonmetropolitan,1348,0.016764918
1045,161548,dale,alabama,AL,50251,89.55003119,45491,54817,17.6,dale_alabama,Nonmetropolitan,270,0.005373027
1047,161549,dallas,alabama,AL,43820,44.77390811,26909,43028,13.6,dallas_alabama,Nonmetropolitan,687,0.015677773
1049,161550,dekalb,alabama,AL,71109,91.50642201,36853,49004,10.7,dekalb_alabama,NA,-1,-0.001
1051,161551,elmore,alabama,AL,79303,128.2213797,54831,65836,21.2,elmore_alabama,Metropolitan,824,0.010390527
1053,161552,escambia,alabama,AL,38319,40.5457739,31638,43175,11.8,escambia_alabama,Nonmetropolitan,438,0.011430361
1055,161553,etowah,alabama,AL,104430,195.1995454,37772,51330,15.3,etowah_alabama,Metropolitan,825,0.007900029
1057,161554,fayette,alabama,AL,17241,27.46869324,33378,43045,10.9,fayette_alabama,Nonmetropolitan,96,0.005568122
1059,161555,franklin,alabama,AL,31704,50.02043164,35831,47503,11.4,franklin_alabama,Nonmetropolitan,353,0.011134242
1061,161556,geneva,alabama,AL,26790,46.63932257,35237,47285,10.3,geneva_alabama,Metropolitan,279,0.010414334
1063,161557,greene,alabama,AL,9045,13.97753087,23004,38467,10.6,greene_alabama,Metropolitan,194,0.021448314
1065,161558,hale,alabama,AL,15760,24.47421589,29236,41392,10,hale_alabama,NA,-1,-0.001
